"formula","logLik","RMSE","MAE","R","R2","AIC","n_predictors","intercept","sigma","sigma2","MWa","logKowb","Mptc","LogSaqd","LogSoce","Hdf","Hag","MVh","Texpi","Skin.thicknessj","model_rank"
"logkpl ~ MWa + Mptc + LogSoce + Hdf + Hag + MVh + Texpi",-393.318720740913,0.823949062547869,0.684603196701535,0.694226805645838,0.481950857677225,804.637441481827,7,-9.42639683709048,0.834412326941584,0.696243931352068,0.00214543991972809,NA,-0.00258596092021912,NA,0.142618138875095,-0.188018061510316,-0.133290036883555,-0.000388905479187707,0.0282416617048653,NA,266
"logkpl ~ MWa + Mptc + LogSoce + Hdf + Hag + Texpi + Skin.thicknessj",-393.337939668141,0.823998395542048,0.685723500227433,0.694182123536298,0.481888820637364,804.675879336283,7,-9.31697949923101,0.834462286411579,0.69632730744324,0.00183004406321945,NA,-0.00254375477128144,NA,0.144557942673699,-0.184846413827557,-0.130768194951699,NA,0.0277497448844457,0.18962325919542,267
"logkpl ~ MWa + Mptc + LogSoce + Hdf + Hag + Texpi",-393.342827038566,0.824010941386429,0.685683532220433,0.694170759570218,0.481873043442294,802.685654077132,6,-9.29511080914848,0.833145150105624,0.694130841144522,0.00181903164951768,NA,-0.00254498151070959,NA,0.144292658175703,-0.185045584963714,-0.13076947299195,NA,0.0277436590226597,NA,268
"logkpl ~ MWa + LogSaqd + Hdf + Hag + MVh + Skin.thicknessj",-395.769949766567,0.830265009345204,0.667373599563918,0.68846078304233,0.473978249787259,807.539899533134,6,-2.43213926023011,0.839468544767735,0.704707437654459,-0.0065137331627699,NA,NA,-0.289607355477665,NA,-0.211369450704864,0.00582426982908774,0.000705204141216837,NA,-0.395920116891918,269
"logkpl ~ MWa + LogSaqd + Hdf + MVh + Skin.thicknessj",-395.779209226447,0.830288959240609,0.667999752389119,0.688438742382245,0.473947902012847,805.558418452894,5,-2.42533810442213,0.838159172714333,0.702510798805175,-0.00638758682584759,NA,NA,-0.286417419656762,NA,-0.208718776009911,NA,0.000677905182242215,NA,-0.390316360443578,270
"logkpl ~ MWa + LogSaqd + Hdf + Hag + MVh",-395.790971887854,0.83031938474478,0.667716705978848,0.688410740400726,0.473909347499076,805.581943775708,5,-2.47340030160626,0.838189886618355,0.702562286029291,-0.00648545955321025,NA,NA,-0.289342736157399,NA,-0.211170268025276,0.00563710684231344,0.000703486695531046,NA,NA,271
"logkpl ~ MWa + LogSaqd + Hdf + MVh",-395.799648630042,0.830341828871277,0.668337195153693,0.688390082658001,0.47388090590189,803.599297260084,4,-2.46624921661544,0.836885206879889,0.700376849494394,-0.00636369886795295,NA,NA,-0.286257530718214,NA,-0.208606335228174,NA,0.000677076503939895,NA,NA,272
"logkpl ~ MWa + LogSaqd + Hdf + Hag + Skin.thicknessj",-395.857116521299,0.830490496365369,0.666282001260614,0.688253218220908,0.473692492391437,805.714233042597,5,-2.41762718225639,0.8383626201863,0.702851882925639,-0.00601718616365205,NA,NA,-0.292857805163058,NA,-0.216139290582187,0.00370130230256449,NA,NA,-0.39192122594085,273
"logkpl ~ MWa + LogSaqd + Hdf + Skin.thicknessj",-395.860907531526,0.830500304516637,0.666712216925141,0.688244186942792,0.473680060860544,803.721815063052,4,-2.41360532798397,0.837044931367613,0.700644217128211,-0.00594826342650326,NA,NA,-0.290720491877616,NA,-0.214311667785724,NA,NA,NA,-0.388408873909076,274
"logkpl ~ MWa + LogSaqd + Hdf + Hag",-395.877705479647,0.830543765781611,0.666645418299657,0.688204165399777,0.473624973273604,803.755410959294,4,-2.45850746807133,0.83708873512224,0.700717550468552,-0.00599039453602792,NA,NA,-0.292588015775536,NA,-0.21593061548179,0.00352114330540983,NA,NA,NA,275
"logkpl ~ MWa + LogSaqd + Hdf",-395.881137481424,0.830552645666089,0.667051772321548,0.688195987765674,0.473613717576772,801.762274962847,3,-2.45433102194293,0.835776298705652,0.698522021478119,-0.00592502647985161,NA,NA,-0.290556148925211,NA,-0.214192972398972,NA,NA,NA,NA,276
"logkpl ~ MWa + Mptc + Hdf + Hag + MVh + Texpi + Skin.thicknessj",-396.728522542149,0.832748058984017,0.69032974176304,0.686168513418748,0.470827228807294,811.457045084298,7,-10.0953180892603,0.843323061141988,0.711193785453894,0.00234545922235646,NA,-0.00313677399795216,NA,NA,-0.234403666155932,-0.155457548064965,-0.00104121208469538,0.0302509099801788,-0.0551447428913762,277
"logkpl ~ MWa + Mptc + Hdf + Hag + MVh + Texpi",-396.728928204705,0.832749111366942,0.69034371309563,0.686167538816407,0.470825891325365,809.457856409409,6,-10.1020978861718,0.841980183203381,0.708930628907198,0.00234891526245862,NA,-0.00313673045807591,NA,NA,-0.234371894311216,-0.155470174995326,-0.0010417339840018,0.0302539783509466,NA,278
"logkpl ~ MWa + Mptc + Hdf + Hag + Texpi + Skin.thicknessj",-396.900984062779,0.833195584166368,0.69382998669524,0.685753828265955,0.470258312981413,809.801968125558,6,-9.75701869390472,0.84243160517949,0.709691009405292,0.00145988269402815,NA,-0.00304253522629663,NA,NA,-0.227779388076397,-0.149282807761217,NA,0.0289548194001832,-0.0669021546353506,279
"logkpl ~ MWa + Mptc + Hdf + Hag + Texpi",-396.901580570948,0.833197132479247,0.693849067435716,0.685752392748313,0.470256344160037,807.803161141896,5,-9.7650391447058,0.841094912192353,0.707440651315862,0.00146353745746132,NA,-0.00304242508379229,NA,NA,-0.227736809303257,-0.149294373182538,NA,0.0289577541238614,NA,280
"logkpl ~ MWa + Mptc + LogSoce + Hdf + Hag + MVh + Skin.thicknessj",-396.954334514393,0.833334073433747,0.693019237300529,0.685625405556956,0.470082196745141,811.908669028787,7,-0.871086606526288,0.843916517343163,0.712195088244613,0.00106960050331438,NA,-0.002519591065728,NA,0.153688241309014,-0.17882379563086,-0.108140196295529,0.00065775342871164,NA,0.15644225027986,281
"logkpl ~ MWa + Mptc + LogSoce + Hdf + Hag + MVh",-396.957587117377,0.833342517417006,0.692908634247981,0.685617573884544,0.470071457619328,809.915174234754,6,-0.854593466543642,0.842580167193669,0.709941338148111,0.00106032213212234,NA,-0.0025205647588464,NA,0.153469310689186,-0.178986187976056,-0.108143113006937,0.000658032497034413,NA,NA,282
"logkpl ~ MWa + Mptc + LogSoce + Hdf + Hag + Skin.thicknessj",-397.025094469578,0.833517790509627,0.691642289883764,0.6854549724956,0.469848519318944,810.050188939156,6,-0.835965540067546,0.842757383198611,0.710240006935771,0.00161527322493142,NA,-0.00259029648962676,NA,0.151056778267517,-0.18381736093592,-0.111828270990711,NA,NA,0.157886523325217,283
"logkpl ~ MWa + Mptc + LogSoce + Hdf + Hag",-397.028405957871,0.833526389259291,0.691529775543267,0.685446993536352,0.469837580948024,808.056811915742,5,-0.819305031794215,0.841427289959516,0.707999884288615,0.00160614281279034,NA,-0.00259130945132494,NA,0.150834698841765,-0.183983391339817,-0.111832793850525,NA,NA,NA,284
"logkpl ~ MWa + Mptc + LogSoce + Hdf + MVh + Texpi + Skin.thicknessj",-399.014503020735,0.838699586305169,0.700144162440526,0.680614693338771,0.463236360788629,816.029006041469,7,-6.90449229285341,0.84935016644088,0.721395705233151,-0.000440532837030668,NA,-0.00230388178421166,NA,0.18283303397353,-0.257087443503346,NA,0.00138072768168248,0.0198475329453717,0.186727724507643,285
"logkpl ~ MWa + Mptc + LogSoce + Hdf + MVh + Texpi",-399.019077537014,0.838711538555166,0.700110046372869,0.680603454234819,0.463221061916367,814.038155074029,6,-6.88280883327544,0.848008704240212,0.719118762467164,-0.000451817247082202,NA,-0.00230503367803916,NA,0.182573555012508,-0.257277808708662,NA,0.0013812771471091,0.0198409523581066,NA,286
"logkpl ~ MWa + Mptc + LogSoce + Hdf + Texpi + Skin.thicknessj",-399.33507789769,0.839537593521229,0.697653816091954,0.679825848184357,0.46216318385958,814.67015579538,6,-7.22824279066224,0.848843916073125,0.720535993854359,0.000636960206600068,NA,-0.00244240218400807,NA,0.17927051713404,-0.273716855563516,NA,NA,0.0211651543533532,0.191940308345771,287
"logkpl ~ MWa + Mptc + LogSoce + Hdf + Texpi",-399.33990178321,0.839550209918958,0.69764483015253,0.679813958915762,0.462147018736721,812.67980356642,5,-7.20608621615518,0.84750820972184,0.718270165545918,0.000625801425532822,NA,-0.00244364291073302,NA,0.179002334435995,-0.273919339613616,NA,NA,0.0211589289866127,NA,288
"logkpl ~ MWa + Mptc + Hdf + Hag + MVh + Skin.thicknessj",-400.831700481745,0.843460972181033,0.699973170549951,0.676109853306152,0.457124533737666,817.66340096349,6,-0.912917620910885,0.852810785611222,0.727286236054829,0.0011900085702067,NA,-0.00311152293330368,NA,NA,-0.228508492425903,-0.130181769611906,3.32574085799698e-05,NA,-0.112449619208477,289
"logkpl ~ MWa + Mptc + Hdf + Hag + Skin.thicknessj",-400.831880021228,0.843461443939878,0.699875901291718,0.676109404211095,0.457123926462682,815.663760042456,5,-0.911075667524588,0.851456517879839,0.724978201840061,0.00121794890780764,NA,-0.00311463610582642,NA,NA,-0.228721425721137,-0.130351930662981,NA,NA,-0.11213875267851,290
