"x_predictor","modifier_predictor","x_predictor_label","modifier_predictor_label","x","modifier_level","modifier_value","predicted_logkpl"
"MWa","LogSaqd","Molecular weight","Aqueous solubility",301.181818181818,"10th percentile",-7.31875876262441,-2.16307438576938
"MWa","LogSaqd","Molecular weight","Aqueous solubility",305.227272727273,"10th percentile",-7.31875876262441,-2.18840547637623
"MWa","LogSaqd","Molecular weight","Aqueous solubility",309.272727272727,"10th percentile",-7.31875876262441,-2.21373656698306
"MWa","LogSaqd","Molecular weight","Aqueous solubility",313.318181818182,"10th percentile",-7.31875876262441,-2.2390676575899
"MWa","LogSaqd","Molecular weight","Aqueous solubility",317.363636363636,"10th percentile",-7.31875876262441,-2.26439874819674
"MWa","LogSaqd","Molecular weight","Aqueous solubility",321.409090909091,"10th percentile",-7.31875876262441,-2.28972983880357
"MWa","LogSaqd","Molecular weight","Aqueous solubility",325.454545454545,"10th percentile",-7.31875876262441,-2.31506092941041
"MWa","LogSaqd","Molecular weight","Aqueous solubility",329.5,"10th percentile",-7.31875876262441,-2.34039202001725
"MWa","LogSaqd","Molecular weight","Aqueous solubility",333.545454545455,"10th percentile",-7.31875876262441,-2.3657231106241
"MWa","LogSaqd","Molecular weight","Aqueous solubility",337.590909090909,"10th percentile",-7.31875876262441,-2.39105420123093
"MWa","LogSaqd","Molecular weight","Aqueous solubility",341.636363636364,"10th percentile",-7.31875876262441,-2.41638529183777
"MWa","LogSaqd","Molecular weight","Aqueous solubility",345.681818181818,"10th percentile",-7.31875876262441,-2.4417163824446
"MWa","LogSaqd","Molecular weight","Aqueous solubility",349.727272727273,"10th percentile",-7.31875876262441,-2.46704747305144
"MWa","LogSaqd","Molecular weight","Aqueous solubility",353.772727272727,"10th percentile",-7.31875876262441,-2.49237856365828
"MWa","LogSaqd","Molecular weight","Aqueous solubility",357.818181818182,"10th percentile",-7.31875876262441,-2.51770965426512
"MWa","LogSaqd","Molecular weight","Aqueous solubility",361.863636363636,"10th percentile",-7.31875876262441,-2.54304074487196
"MWa","LogSaqd","Molecular weight","Aqueous solubility",365.909090909091,"10th percentile",-7.31875876262441,-2.56837183547879
"MWa","LogSaqd","Molecular weight","Aqueous solubility",369.954545454545,"10th percentile",-7.31875876262441,-2.59370292608563
"MWa","LogSaqd","Molecular weight","Aqueous solubility",374,"10th percentile",-7.31875876262441,-2.61903401669247
"MWa","LogSaqd","Molecular weight","Aqueous solubility",378.045454545455,"10th percentile",-7.31875876262441,-2.64436510729931
"MWa","LogSaqd","Molecular weight","Aqueous solubility",382.090909090909,"10th percentile",-7.31875876262441,-2.66969619790615
"MWa","LogSaqd","Molecular weight","Aqueous solubility",386.136363636364,"10th percentile",-7.31875876262441,-2.69502728851299
"MWa","LogSaqd","Molecular weight","Aqueous solubility",390.181818181818,"10th percentile",-7.31875876262441,-2.72035837911982
"MWa","LogSaqd","Molecular weight","Aqueous solubility",394.227272727273,"10th percentile",-7.31875876262441,-2.74568946972666
"MWa","LogSaqd","Molecular weight","Aqueous solubility",398.272727272727,"10th percentile",-7.31875876262441,-2.7710205603335
"MWa","LogSaqd","Molecular weight","Aqueous solubility",402.318181818182,"10th percentile",-7.31875876262441,-2.79635165094034
"MWa","LogSaqd","Molecular weight","Aqueous solubility",406.363636363636,"10th percentile",-7.31875876262441,-2.82168274154718
"MWa","LogSaqd","Molecular weight","Aqueous solubility",410.409090909091,"10th percentile",-7.31875876262441,-2.84701383215401
"MWa","LogSaqd","Molecular weight","Aqueous solubility",414.454545454545,"10th percentile",-7.31875876262441,-2.87234492276086
"MWa","LogSaqd","Molecular weight","Aqueous solubility",418.5,"10th percentile",-7.31875876262441,-2.89767601336769
"MWa","LogSaqd","Molecular weight","Aqueous solubility",18,"median",-4.85387196432176,-1.39416199338427
"MWa","LogSaqd","Molecular weight","Aqueous solubility",22.0454545454545,"median",-4.85387196432176,-1.41044978928267
"MWa","LogSaqd","Molecular weight","Aqueous solubility",26.0909090909091,"median",-4.85387196432176,-1.42673758518107
"MWa","LogSaqd","Molecular weight","Aqueous solubility",30.1363636363636,"median",-4.85387196432176,-1.44302538107947
"MWa","LogSaqd","Molecular weight","Aqueous solubility",34.1818181818182,"median",-4.85387196432176,-1.45931317697787
"MWa","LogSaqd","Molecular weight","Aqueous solubility",38.2272727272727,"median",-4.85387196432176,-1.47560097287627
"MWa","LogSaqd","Molecular weight","Aqueous solubility",42.2727272727273,"median",-4.85387196432176,-1.49188876877466
"MWa","LogSaqd","Molecular weight","Aqueous solubility",46.3181818181818,"median",-4.85387196432176,-1.50817656467306
"MWa","LogSaqd","Molecular weight","Aqueous solubility",50.3636363636364,"median",-4.85387196432176,-1.52446436057146
"MWa","LogSaqd","Molecular weight","Aqueous solubility",54.4090909090909,"median",-4.85387196432176,-1.54075215646986
"MWa","LogSaqd","Molecular weight","Aqueous solubility",58.4545454545455,"median",-4.85387196432176,-1.55703995236826
"MWa","LogSaqd","Molecular weight","Aqueous solubility",62.5,"median",-4.85387196432176,-1.57332774826665
"MWa","LogSaqd","Molecular weight","Aqueous solubility",66.5454545454545,"median",-4.85387196432176,-1.58961554416506
"MWa","LogSaqd","Molecular weight","Aqueous solubility",70.5909090909091,"median",-4.85387196432176,-1.60590334006345
"MWa","LogSaqd","Molecular weight","Aqueous solubility",74.6363636363636,"median",-4.85387196432176,-1.62219113596185
"MWa","LogSaqd","Molecular weight","Aqueous solubility",78.6818181818182,"median",-4.85387196432176,-1.63847893186025
"MWa","LogSaqd","Molecular weight","Aqueous solubility",82.7272727272727,"median",-4.85387196432176,-1.65476672775865
"MWa","LogSaqd","Molecular weight","Aqueous solubility",86.7727272727273,"median",-4.85387196432176,-1.67105452365704
"MWa","LogSaqd","Molecular weight","Aqueous solubility",90.8181818181818,"median",-4.85387196432176,-1.68734231955544
"MWa","LogSaqd","Molecular weight","Aqueous solubility",94.8636363636364,"median",-4.85387196432176,-1.70363011545384
"MWa","LogSaqd","Molecular weight","Aqueous solubility",98.9090909090909,"median",-4.85387196432176,-1.71991791135223
"MWa","LogSaqd","Molecular weight","Aqueous solubility",102.954545454545,"median",-4.85387196432176,-1.73620570725064
"MWa","LogSaqd","Molecular weight","Aqueous solubility",107,"median",-4.85387196432176,-1.75249350314903
"MWa","LogSaqd","Molecular weight","Aqueous solubility",111.045454545455,"median",-4.85387196432176,-1.76878129904743
"MWa","LogSaqd","Molecular weight","Aqueous solubility",115.090909090909,"median",-4.85387196432176,-1.78506909494583
"MWa","LogSaqd","Molecular weight","Aqueous solubility",119.136363636364,"median",-4.85387196432176,-1.80135689084423
