compound_id,Compound,CAS.No,SMILES_as_reported,SMILES_parent,structure_source,structure_note,structure_status,structure_type
50-28-2,beta-estradiol,50-28-2,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,PubChem,,,
50-28-2,estradiol,50-28-2,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,PubChem,,,
51-21-8,5-fluorouracil,51-21-8,C1=C(C(=O)NC(=O)N1)F,,PubChem,,,
51-21-8,5-fluorouracil (+ - + -),51-21-8,C1=C(C(=O)NC(=O)N1)F,,PubChem,,,
512-69-6,raffinose,512-69-6,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O,,PubChem,,,
513-85-9,"2,3-butanediol",513-85-9,CC(C(C)O)O,,PubChem,,,
51384-51-1,metoprolol,51384-51-1,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,,PubChem,,,
52-39-1,aldosterone,52-39-1,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O,,PubChem,,,
53-06-5,cortisone,53-06-5,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,,PubChem,,,
53-16-7,estrone,53-16-7,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,,PubChem,,,
53-96-3,2-(acetylamino)fluorene,53-96-3,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,,PubChem,,,
