"logKowb","Mptc","LogSaqd","LogSoce","Mpt_C","GSE_logS"
-3.85,459,-2.21467016498923,-6.06467016498923,185.85,2.7415
-3.85,459,-2.03621217265444,-5.88621217265444,185.85,2.7415
-3.85,459,-2.03621217265444,-5.88621217265444,185.85,2.7415
-3.85,459,-2.03621217265444,-5.88621217265444,185.85,2.7415
-3.85,459,-2.03621217265444,-5.88621217265444,185.85,2.7415
3.77,394,-7.53760200210104,-3.76760200210104,120.85,-4.2285
4.04,394,-7.42639853502674,-3.38639853502674,120.85,-4.4985
4.04,394,-7.53760200210104,-3.49760200210104,120.85,-4.4985
3.76996780132944,394,-7.55284196865778,-3.78287416732834,120.85,-4.22846780132944
4.04,394,-7.53760200210104,-3.49760200210104,120.85,-4.4985
-0.07,509,-3.88605664769316,-3.95605664769316,235.85,-1.5385
-0.08,511,-3.84264502229839,-3.92264502229839,237.85,-1.5485
-0.08,511,-3.84241286385707,-3.92241286385707,237.85,-1.5485
-0.08,511,-3.84241286385707,-3.92241286385707,237.85,-1.5485
-0.08,511,-3.67649701887839,-3.75649701887839,237.85,-1.5485
-0.08,511,-3.8779782613198,-3.9579782613198,237.85,-1.5485
3.48,428,-6.98290411779263,-3.50290411779263,154.85,-4.2785
3.48,428,-7.07572071393812,-3.59572071393812,154.85,-4.2785
3.32,428,-7.00097615680496,-3.68097615680496,154.85,-4.1185
3.48,428,-7.00097615680496,-3.52097615680496,154.85,-4.2785
3.31,428,-7.0982975364947,-3.7882975364947,154.85,-4.1085
3.48,428,-6.95310304981828,-3.47310304981828,154.85,-4.2785
3.48,428,-7.09151498112135,-3.61151498112135,154.85,-4.2785
3.48,428,-7.07572071393812,-3.59572071393812,154.85,-4.2785
3.48,428,-7.07572071393812,-3.59572071393812,154.85,-4.2785
3.48,428,-7.07572071393812,-3.59572071393812,154.85,-4.2785
3.48,428,-7.09151498112135,-3.61151498112135,154.85,-4.2785
3.48,428,-7.07572071393812,-3.59572071393812,154.85,-4.2785
2.84,398,-7.19384153067189,-4.35384153067189,124.85,-3.3385
-1.85,468,-5.24250320319763,-7.09250320319763,194.85,0.6515
3.1,340,-4.45593195564972,-1.35593195564972,66.85,-3.0185
2.89,340,-4.45593195564972,-1.56593195564972,66.85,-2.8085
1.34,246,-3.69155358131792,-2.35155358131792,-27.15,-0.3185
1.36,259,-3.74472749489669,-2.38472749489669,-14.15,-0.4685
1.318,425,-4.24333878240929,-2.92533878240929,151.85,-2.0865
1.318,425,-4.24333878240929,-2.92533878240929,151.85,-2.0865
1.41,282,-3.431798275933,-2.021798275933,8.85000000000002,-0.7485
1.41,282,-3.32364617807633,-1.91364617807633,8.85000000000002,-0.7485
0.32,393,-4.05060999335509,-3.73060999335509,119.85,-0.7685
2.06,432,-2.0388382055451,0.0211617944549037,158.85,-2.8985
-0.31,159,-1.76955107862173,-2.07955107862173,-114.15,2.2015
-0.31,159,-1.76955107862173,-2.07955107862173,-114.15,2.2015
-0.31,159,-1.76955107862173,-2.07955107862173,-114.15,2.2015
-0.17,289.6,-1.74973631556906,-1.91973631556906,16.45,0.7555
3.41,415,-6.88605664769316,-3.47605664769316,141.85,-4.0785
1.56,395,-4.38721614328026,-2.82721614328026,121.85,-2.0285
1.9,395,-4.38721614328026,-2.48721614328026,121.85,-2.3685
1.9,395,-4.38721614328026,-2.48721614328026,121.85,-2.3685
0.67,293,-1.97528142368839,-1.30528142368839,19.85,-0.1185
0.67,293,-1.97528142368839,-1.30528142368839,19.85,-0.1185
3,469,-7.431798275933,-4.431798275933,195.85,-4.2085
-0.77,175,-1.50863830616573,-2.27863830616573,-98.15,2.5015
-0.72,175,-1.50863830616573,-2.22863830616573,-98.15,2.4515
-0.72,175,-1.50863830616573,-2.22863830616573,-98.15,2.4515
2.89,496,-7.72124639904717,-4.83124639904717,222.85,-4.3685
0.98,157,-3.08618614761628,-2.10618614761628,-116.15,0.9315
-3.26,440,-2.91176652493691,-6.17176652493691,166.85,2.3415
-4.67,440,-2.92081875395238,-7.59081875395238,166.85,3.7515
-3.26,440,-2.91176652493691,-6.17176652493691,166.85,2.3415
-3.26,440,-2.91176652493691,-6.17176652493691,166.85,2.3415
-4.67,440,-2.92081875395238,-7.59081875395238,166.85,3.7515
-3.26,440,-2.91176652493691,-6.17176652493691,166.85,2.3415
-4.67,440,-3,-7.67,166.85,3.7515
-4.67,440,-2.74472749489669,-7.41472749489669,166.85,3.7515
-4.67,440,-3.04095860767891,-7.71095860767891,166.85,3.7515
-3.26,440,-2.91176652493691,-6.17176652493691,166.85,2.3415
2.06,432,-4.79588001734407,-2.73588001734407,158.85,-2.8985
2.06,432,-4.60940043746848,-2.54940043746848,158.85,-2.8985
0.34,147,-1.88605664769316,-1.54605664769316,-126.15,1.6715
0.34,147,-1.88605664769316,-1.54605664769316,-126.15,1.6715
0.34,147,-1.88605664769316,-1.54605664769316,-126.15,1.6715
0.88,184,-3.07058107428571,-2.19058107428571,-89.15,0.7615
0.88,184,-3.07058107428571,-2.19058107428571,-89.15,0.7615
0.88,184,-3.07058107428571,-2.19058107428571,-89.15,0.7615
0.88,184,-3.07058107428571,-2.19058107428571,-89.15,0.7615
0.88,184,-3.07058107428571,-2.19058107428571,-89.15,0.7615
0.88,184,-3.07058107428571,-2.19058107428571,-89.15,0.7615
1.41,194,-3.60205999132796,-2.19205999132796,-79.15,0.1315
1.41,194,-3.60205999132796,-2.19205999132796,-79.15,0.1315
2.22,279,-4.63827216398241,-2.41827216398241,5.85000000000002,-1.5285
2.22,279,-4.63827216398241,-2.41827216398241,5.85000000000002,-1.5285
-2.82,559,-2.11350927482752,-4.93350927482752,285.85,0.7115
-2.82,559,-1.85387196432176,-4.67387196432176,285.85,0.7115
2.6,566,-7.31875876262441,-4.71875876262441,292.85,-4.7785
2.6,566,-7.3767507096021,-4.7767507096021,292.85,-4.7785
1.743,573,-5.87371358049469,-4.13071358049469,299.85,-3.9915
1.743,573,-5.87371358049469,-4.13071358049469,299.85,-3.9915
-1.38,273,-1.2518119729938,-2.6318119729938,-0.149999999999977,2.1315
-1.38,273,-1.2518119729938,-2.6318119729938,-0.149999999999977,2.1315
-1.38,273,-1.2518119729938,-2.6318119729938,-0.149999999999977,2.1315
-1.38,273,-1.2518119729938,-2.6318119729938,-0.149999999999977,2.1315
-1.38,273,-1.2518119729938,-2.6318119729938,-0.149999999999977,2.1315
-1.38,273,-1.2518119729938,-2.6318119729938,-0.149999999999977,2.1315
-1.38,273,-1.2518119729938,-2.6318119729938,-0.149999999999977,2.1315
-1.38,273,-1.2518119729938,-2.6318119729938,-0.149999999999977,2.1315
-1.38,273,-1.2518119729938,-2.6318119729938,-0.149999999999977,2.1315
-1.38,273,-1.2518119729938,-2.6318119729938,-0.149999999999977,2.1315
-1.38,273,-1.2518119729938,-2.6318119729938,-0.149999999999977,2.1315
0.37,187,-2.50863830616573,-2.13863830616573,-86.15,1.2415
2.47,232,-5.17491288625797,-2.70491288625797,-41.15,-1.3085
0.97,406,-2.34298119489448,-1.37298119489448,132.85,-1.5485
3.35,389,-5.72124639904717,-2.37124639904717,115.85,-3.7585
3.35,388,-5.53377896260828,-2.18377896260828,114.85,-3.7485
3.58,342,-5.33724216831843,-1.75724216831843,68.85,-3.5185
3.17,266.2,-5.37806246565161,-2.20806246565161,-6.94999999999999,-2.3505
3.28,325,-5.17392519729917,-1.89392519729917,51.85,-3.0485
3.28,325,-5.2083561272718,-1.9283561272718,51.85,-3.0485
2.84010609445676,368.5,-5.22135700643865,-2.38125091198189,95.35,-3.04360609445676
2.84010609445676,368.5,-5.22135700643865,-2.38125091198189,95.35,-3.04360609445676
3.3,354,-6.55017034359123,-3.25017034359123,80.85,-3.3585
3.3,354,-6.55017034359123,-3.25017034359123,80.85,-3.3585
1.414,347.5,-3.56938015318325,-2.15538015318325,74.35,-1.4075
1.414,347.5,-3.56938015318325,-2.15538015318325,74.35,-1.4075
0.88,316,-3.33474024315784,-2.45474024315784,42.85,-0.5585
0.88,316,-3.2839966563652,-2.4039966563652,42.85,-0.5585
1.425,374.5,-5.89036750573181,-4.46536750573181,101.35,-1.6885
1.425,374.5,-5.89036750573181,-4.46536750573181,101.35,-1.6885
2.9,371,-5.41449957555232,-2.51449957555232,97.85,-3.1285
2.9,371,-5.47242442748251,-2.57242442748251,97.85,-3.1285
2.9,371,-5.47242442748251,-2.57242442748251,97.85,-3.1285
3.57,341.5,-5.87334296219547,-2.30334296219547,68.35,-3.5035
3.57,341.5,-5.89030921689995,-2.32030921689995,68.35,-3.5035
1.95,303,-3.63827216398241,-1.68827216398241,29.85,-1.4985
0.15,377,-3.42021640338319,-3.27021640338319,103.85,-0.4385
2.15,282,-3.76955107862173,-1.61955107862173,8.85000000000002,-1.4885
2.23,334,-4.38721614328026,-2.15721614328026,60.85,-2.0885
2.05,323,-6.32999645295807,-4.27999645295807,49.85,-1.7985
2.05,323,-6.32999645295807,-4.27999645295807,49.85,-1.7985
2.2,263.9,-4.76443077441808,-2.56443077441808,-9.25,-1.3575
2.2,263.9,-4.76443077441808,-2.56443077441808,-9.25,-1.3575
2.354,263,-5.24708551040384,-2.89308551040384,-10.15,-1.5025
2.354,263,-5.24708551040384,-2.89308551040384,-10.15,-1.5025
1.58,293,-4.22563908508624,-2.64563908508624,19.85,-1.0285
1.58,293,-4.22563908508624,-2.64563908508624,19.85,-1.0285
1.87,401,-4.79581134875639,-2.92581134875639,127.85,-2.3985
1.96,401,-4.80401675148642,-2.84401675148642,127.85,-2.4885
1.87,401,-4.88605664769316,-3.01605664769316,127.85,-2.3985
1.86,404,-4.85487313761985,-2.99487313761985,130.85,-2.4185
